replicate	E1	E2	E3	E4
172	0	0	0.011520425266823906	0.12639342999726061
173	-0.00011905886259408471	0	0.036320346991673517	0.53052707239222818
174	-8.0098163873226774e-05	0	0.027306991183673752	0.23897172954559731
175	0	0	0.027094916533467205	0.44473646846375753
176	-0.00013636569332005078	0	0.026536422919417702	0.2879044597665642
177	0	0	0.02635763729977424	0.37568841339990078
178	-6.2038426608901354e-05	0	0.017419522164341256	0.17702219864361224
179	-7.9997870194242754e-05	0	0.024911071964870867	0.33488796535433407
180	-0.00025948198624233811	0	0.030624956317212577	0.31028329638347241
181	0	0	0.012623292111394391	0.056728780170552752
182	0	0	0.019775670494039374	0.25719410163590595
183	-1.9328581715982728e-05	0	0.022838112785123928	0.2646819798985055
184	-7.1435179387022146e-05	0	0.025840309984311482	0.13455826324909737
185	-6.8625400164601394e-05	0	0.014839025726715176	0.14351507306090472
186	0	0	0.017919707125656038	0.38599524647627276
187	-9.9084212010214223e-07	0	0.010613099485961197	0.045515702819285561
188	0	0	0.02813212258296096	0.27831746858014672
189	-1.6115699953467288e-05	0	0.010947139264824126	-0.12522015929643165
190	-7.9213512475068135e-05	0	0.010161302151375312	0.11371539470774135
191	-0.00024703604978291158	0	0.027234324727546999	0.35537417134686083
192	-2.6878777259314869e-05	0	0.016503979088491369	0.22873852496366123
193	-0.00011267520672668674	0	0.015031636790456529	0.15096249695840033
194	0	0	0.018425666511082309	0.37787668697652976
195	-4.096134840264887e-05	0	0.019853901074489134	0.16126333235147561
196	-6.3908953231728291e-05	0	0.020380573356594569	0.31682758092164637
197	-0.000148892055141292	0	0.033737483753556986	0.38036260223540708
198	-7.7900700615113339e-05	0	0.036887142938845915	0.30212301691961396
199	-4.7108179173621642e-05	0	0.022335799730471513	0.16945977207754065
200	0	0	0.015097660510747504	0.30595905695638076
201	-4.1355009611643288e-05	0	0.024945557321404622	0.17096981045556162
202	-0.00013269628263159471	0	0.036826401055354771	0.38606010489303733
203	-2.1021727480979856e-05	0	0.0064666957188148216	0.10435893102731286
204	-5.1917423418196275e-05	0	0.014381637019327676	0.025279380744784575
205	0	0	0.027202129842367907	0.26099025898909456
206	-1.1486458953879896e-06	0	0.015554543601578024	0.25220424484308823
207	-0.00016741294029333774	0	0.018053246969052496	-0.0091912965508375681
208	-5.8411375104505671e-05	0	0.019104400425042335	0.09548148000576348
209	-6.4130899554526446e-05	0	0.0117690858411552	0.1000801965946648
210	-0.00023212674666341359	0	0.016646265604442257	0.18190190065297754
211	0	0	0.014211286456003997	0.24687890484568031
212	-1.8828071102700018e-05	0	0.029612062256593363	0.41737101178950037
213	-9.1788889445953978e-05	0	0.022669135279982391	0.27235590842232776
214	-3.2515518405962231e-05	0	0.020345789707073104	0.22754086084418593
215	-0.00012644847565027595	0	0.027832222010147411	0.34558799130302009
216	-7.0346752768785098e-05	0	0.018914732032631724	0.16020372474744876
217	-4.606477177245827e-05	0	0.014565556297326043	0.10682179863612558
218	0	0	0.0157344247670273	0.087103966373977784
219	-4.6026252431832784e-05	0	0.019620706529824325	-0.15954754653282119
220	0	0	0.0012767534520263524	-0.16530168317027746
221	-0.00010088292245213348	0	0.037270824035516389	0.25748150313095364
222	0	0	0.020767672690077173	0.14387717189801147
223	0	0	0.010671844804732914	0.18573683440408764
224	0	0	0.012279085005000917	0.24410805124975304
